;Unnamed: 0;isi_tweet;sentimen;step01;tokens;final_tokens;step02
0;0;Kunjungan Kapolri dalam rangka Stadium Generale  Universitas Islam Negeri Walisongo di UIN Walisongo Semarang, Sabt… https://t.co/3VsDE8GVOk;0;kunjungan kapolri dalam rangka stadium generale universitas islam negeri walisongo di uin walisongo semarang sabt co3vsde8gvok;['kunjungan', 'kapolri', 'dalam', 'rangka', 'stadium', 'generale', 'universitas', 'islam', 'negeri', 'walisongo', 'di', 'uin', 'walisongo', 'semarang', 'sabt', 'co3vsde8gvok'];['kunjungan', 'kapolri', 'dalam', 'rangka', 'stadium', 'generale', 'universitas', 'islam', 'negeri', 'walisongo', 'di', 'uin', 'walisongo', 'semarang', 'sabt', 'co3vsde8gvok'];kunjungan kapolri dalam rangka stadium generale universitas islam negeri walisongo di uin walisongo semarang sabt co3vsde8gvok
1;1;hal paling malas yang dilakukan saat di semarang adalah nyetrika baju, alias panas banget cok;0;hal paling malas yang dilakukan saat di semarang adalah nyetrika baju alias panas banget cok;['hal', 'paling', 'malas', 'yang', 'dilakukan', 'saat', 'di', 'semarang', 'adalah', 'nyetrika', 'baju', 'alias', 'panas', 'banget', 'cok'];['hal', 'paling', 'malas', 'yang', 'dilakukan', 'saat', 'di', 'semarang', 'adalah', 'nyetrika', 'baju', 'alias', 'panas', 'banget', 'cok'];hal paling malas yang dilakukan saat di semarang adalah nyetrika baju alias panas banget cok
2;2;Kunjungan Kapolri dalam rangka Stadium Generale  Universitas Islam Negeri Walisongo di UIN Walisongo Semarang, Sabt… https://t.co/x63VnlA6D4;0;kunjungan kapolri dalam rangka stadium generale universitas islam negeri walisongo di uin walisongo semarang sabt cox63vnla6d4;['kunjungan', 'kapolri', 'dalam', 'rangka', 'stadium', 'generale', 'universitas', 'islam', 'negeri', 'walisongo', 'di', 'uin', 'walisongo', 'semarang', 'sabt', 'cox63vnla6d4'];['kunjungan', 'kapolri', 'dalam', 'rangka', 'stadium', 'generale', 'universitas', 'islam', 'negeri', 'walisongo', 'di', 'uin', 'walisongo', 'semarang', 'sabt', 'cox63vnla6d4'];kunjungan kapolri dalam rangka stadium generale universitas islam negeri walisongo di uin walisongo semarang sabt cox63vnla6d4
3;3;"@rizapasha_ @apdinata1 @gibran_tweet @BankBCA Program cicilan LASIK 0% juga ada di JEC-CANDI @ Semarang ya kak 😊

https://t.co/LbDX0N7w4g";0;user user user user program cicilan lasik percent juga ada di jec candi semarang ya kak colbdx0n7w4g;['user', 'user', 'user', 'user', 'program', 'cicilan', 'lasik', 'percent', 'juga', 'ada', 'di', 'jec', 'candi', 'semarang', 'ya', 'kak', 'colbdx0n7w4g'];['user', 'user', 'user', 'user', 'program', 'cicilan', 'lasik', 'percent', 'juga', 'ada', 'di', 'jec', 'candi', 'semarang', 'ya', 'kak', 'colbdx0n7w4g'];user user user user program cicilan lasik percent juga ada di jec candi semarang ya kak colbdx0n7w4g
4;4;Yang domisili selain Semarang sama Jakarta gausah chat tanya RR karena aku ga ke kota kalian, thanks;1;yang domisili selain semarang sama jakarta gausah chat tanya rr karena aku ga ke kota kalian thanks;['yang', 'domisili', 'selain', 'semarang', 'sama', 'jakarta', 'gausah', 'chat', 'tanya', 'rr', 'karena', 'aku', 'ga', 'ke', 'kota', 'kalian', 'thanks'];['yang', 'domisili', 'selain', 'semarang', 'sama', 'jakarta', 'gausah', 'chat', 'tanya', 'rr', 'karena', 'aku', 'ga', 'ke', 'kota', 'kalian', 'thanks'];yang domisili selain semarang sama jakarta gausah chat tanya rr karena aku ga ke kota kalian thanks
5;5;"𝐏𝐫𝐞𝐥𝐨𝐯𝐞𝐝 𝐌𝐚𝐤𝐞 𝐨𝐯𝐞𝐫 𝐬𝐢𝐥𝐤𝐲 𝐬𝐦𝐨𝐨𝐭𝐡 𝐭𝐫𝐚𝐧𝐬𝐥𝐮𝐜𝐞𝐧𝐭 𝐩𝐨𝐰𝐝𝐞𝐫 𝐬𝐡𝐚𝐝𝐞 𝟎𝟑 𝐜𝐡𝐚𝐦𝐩𝐚𝐠𝐧𝐞

~ dijual karena shadenya terlalu gelap
~ bar… https://t.co/1V0mnghlfr";0;number dijual karena shadenya terlalu gelap bar co1v0mnghlfr;['number', 'dijual', 'karena', 'shadenya', 'terlalu', 'gelap', 'bar', 'co1v0mnghlfr'];['number', 'dijual', 'karena', 'shadenya', 'terlalu', 'gelap', 'bar', 'co1v0mnghlfr'];number dijual karena shadenya terlalu gelap bar co1v0mnghlfr
6;6;@kopidansenjaa Sama sama... salam kenal dr Semarang;0;user sama sama salam kenal dr semarang;['user', 'sama', 'sama', 'salam', 'kenal', 'dr', 'semarang'];['user', 'sama', 'sama', 'salam', 'kenal', 'dr', 'semarang'];user sama sama salam kenal dr semarang
7;7;Pengadaan Bibit Tanaman Ruang Terbuka Hijau (RTH) Kabupaten Kudus, Demak, dan Kota Semarang... (30/Oct) , trend -… https://t.co/ZuPojpAYRJ;0;pengadaan bibit tanaman ruang terbuka hijau rth kabupaten kudus demak dan kota semarang number oct trend cozupojpayrj;['pengadaan', 'bibit', 'tanaman', 'ruang', 'terbuka', 'hijau', 'rth', 'kabupaten', 'kudus', 'demak', 'dan', 'kota', 'semarang', 'number', 'oct', 'trend', 'cozupojpayrj'];['pengadaan', 'bibit', 'tanaman', 'ruang', 'terbuka', 'hijau', 'rth', 'kabupaten', 'kudus', 'demak', 'dan', 'kota', 'semarang', 'number', 'oct', 'trend', 'cozupojpayrj'];pengadaan bibit tanaman ruang terbuka hijau rth kabupaten kudus demak dan kota semarang number oct trend cozupojpayrj
8;8;yeah bbrp jam lgi gue akan bertemu dgn pnasnya semarang😵‍💫 https://t.co/XITKuske0p;0;yeah bbrp jam lgi gue akan bertemu dgn pnasnya semarang coxitkuske0p;['yeah', 'bbrp', 'jam', 'lgi', 'gue', 'akan', 'bertemu', 'dgn', 'pnasnya', 'semarang', 'coxitkuske0p'];['yeah', 'bbrp', 'jam', 'lgi', 'gue', 'akan', 'bertemu', 'dgn', 'pnasnya', 'semarang', 'coxitkuske0p'];yeah bbrp jam lgi gue akan bertemu dgn pnasnya semarang coxitkuske0p
9;9;"RT @grienthi: inspirasi blouse wanita

– a thread

blouse ootd cakep hasil tes otak kanan kiri telkomsel lahiran saat malam minggu hallowee…";0;rt user inspirasi blouse wanita thread blouse ootd cakep hasil tes otak kanan kiri telkomsel lahiran saat malam minggu hallowee;['rt', 'user', 'inspirasi', 'blouse', 'wanita', 'thread', 'blouse', 'ootd', 'cakep', 'hasil', 'tes', 'otak', 'kanan', 'kiri', 'telkomsel', 'lahiran', 'saat', 'malam', 'minggu', 'hallowee'];['rt', 'user', 'inspirasi', 'blouse', 'wanita', 'thread', 'blouse', 'ootd', 'cakep', 'hasil', 'tes', 'otak', 'kanan', 'kiri', 'telkomsel', 'lahiran', 'saat', 'malam', 'minggu', 'hallowee'];rt user inspirasi blouse wanita thread blouse ootd cakep hasil tes otak kanan kiri telkomsel lahiran saat malam minggu hallowee
10;10;@ultramilk200ml awkwkwk. jualannya depan gereja tapi ini gatau soto mana, keknya masih soto semarang;0;user awkwkwk jualannya depan gereja tapi ini gatau soto mana keknya masih soto semarang;['user', 'awkwkwk', 'jualannya', 'depan', 'gereja', 'tapi', 'ini', 'gatau', 'soto', 'mana', 'keknya', 'masih', 'soto', 'semarang'];['user', 'awkwkwk', 'jualannya', 'depan', 'gereja', 'tapi', 'ini', 'gatau', 'soto', 'mana', 'keknya', 'masih', 'soto', 'semarang'];user awkwkwk jualannya depan gereja tapi ini gatau soto mana keknya masih soto semarang
11;11;Menteri BUMN @erixkh_ memberikan kuliah umum dengan tema “Peran BUMN Dalam Menghadapi Tantangan Ekonomi Baru Dan Re… https://t.co/vPz733F96G;0;menteri bumn user memberikan kuliah umum dengan tema peran bumn dalam menghadapi tantangan ekonomi baru dan re covpz733f96g;['menteri', 'bumn', 'user', 'memberikan', 'kuliah', 'umum', 'dengan', 'tema', 'peran', 'bumn', 'dalam', 'menghadapi', 'tantangan', 'ekonomi', 'baru', 'dan', 're', 'covpz733f96g'];['menteri', 'bumn', 'user', 'memberikan', 'kuliah', 'umum', 'dengan', 'tema', 'peran', 'bumn', 'dalam', 'menghadapi', 'tantangan', 'ekonomi', 'baru', 'dan', 're', 'covpz733f96g'];menteri bumn user memberikan kuliah umum dengan tema peran bumn dalam menghadapi tantangan ekonomi baru dan re covpz733f96g
12;12;"RT @SydneyX5w: Kuliah Umum di Kampus Universitas Negeri Semarang (UNES) Bersama Menteri BUMN @erickthohir 👏👏👏

#BangkitBersamaET https://t.…";0;rt user kuliah umum di kampus universitas negeri semarang unes bersama menteri bumn user hashtag bangkit bersama et hashtag https;['rt', 'user', 'kuliah', 'umum', 'di', 'kampus', 'universitas', 'negeri', 'semarang', 'unes', 'bersama', 'menteri', 'bumn', 'user', 'hashtag', 'bangkit', 'bersama', 'et', 'hashtag', 'https'];['rt', 'user', 'kuliah', 'umum', 'di', 'kampus', 'universitas', 'negeri', 'semarang', 'unes', 'bersama', 'menteri', 'bumn', 'user', 'hashtag', 'bangkit', 'bersama', 'et', 'hashtag', 'https'];rt user kuliah umum di kampus universitas negeri semarang unes bersama menteri bumn user hashtag bangkit bersama et hashtag https
