,isi_tweet,sentimen
0,"Kunjungan Kapolri dalam rangka Stadium Generale  Universitas Islam Negeri Walisongo di UIN Walisongo Semarang, Sabt… https://t.co/3VsDE8GVOk",0
1,"hal paling malas yang dilakukan saat di semarang adalah nyetrika baju, alias panas banget cok",0
2,"Kunjungan Kapolri dalam rangka Stadium Generale  Universitas Islam Negeri Walisongo di UIN Walisongo Semarang, Sabt… https://t.co/x63VnlA6D4",0
3,"@rizapasha_ @apdinata1 @gibran_tweet @BankBCA Program cicilan LASIK 0% juga ada di JEC-CANDI @ Semarang ya kak 😊

https://t.co/LbDX0N7w4g",0
4,"Yang domisili selain Semarang sama Jakarta gausah chat tanya RR karena aku ga ke kota kalian, thanks",1
5,"𝐏𝐫𝐞𝐥𝐨𝐯𝐞𝐝 𝐌𝐚𝐤𝐞 𝐨𝐯𝐞𝐫 𝐬𝐢𝐥𝐤𝐲 𝐬𝐦𝐨𝐨𝐭𝐡 𝐭𝐫𝐚𝐧𝐬𝐥𝐮𝐜𝐞𝐧𝐭 𝐩𝐨𝐰𝐝𝐞𝐫 𝐬𝐡𝐚𝐝𝐞 𝟎𝟑 𝐜𝐡𝐚𝐦𝐩𝐚𝐠𝐧𝐞

~ dijual karena shadenya terlalu gelap
~ bar… https://t.co/1V0mnghlfr",0
6,@kopidansenjaa Sama sama... salam kenal dr Semarang,0
7,"Pengadaan Bibit Tanaman Ruang Terbuka Hijau (RTH) Kabupaten Kudus, Demak, dan Kota Semarang... (30/Oct) , trend -… https://t.co/ZuPojpAYRJ",0
8,yeah bbrp jam lgi gue akan bertemu dgn pnasnya semarang😵‍💫 https://t.co/XITKuske0p,0
9,"RT @grienthi: inspirasi blouse wanita

– a thread

blouse ootd cakep hasil tes otak kanan kiri telkomsel lahiran saat malam minggu hallowee…",0
10,"@ultramilk200ml awkwkwk. jualannya depan gereja tapi ini gatau soto mana, keknya masih soto semarang",0
