;Tweets;len;ID;Created;Source;Likes;RTs
0;Bali meloloskan sembilan usulan Warisan Budaya Tak Benda (WBTB) Indonesia 2022. Dua di antaranya arak Bali dan jaja… https://t.co/CijsmiYuhu;140;1579445412645470208;2022-10-10 12:15:05+00:00;Echobox;0;0
1;Polisi akan memeriksa saksi terkait kasus dugaan KDRT Rizky Billar. Kali ini, polisi akan memeriksa penjaga rumah. https://t.co/EhfnTTn6QV;138;1579445385050800130;2022-10-10 12:14:59+00:00;Echobox;0;0
2;Tim Gabungan Independen Pencari Fakta (TGIPF) Tragedi Kanjuruhan memanggil PSSI. Pihak PSSI akan dimintai klarifika… https://t.co/H95cwjKYna;140;1579445379938279424;2022-10-10 12:14:57+00:00;Echobox;0;0
3;BPBD Kota Solo memetakan kawasan rawan bencana banjir dan tanah longsor. Sedikitnya ada 30 titik kawasan rawan banj… https://t.co/900PLAMRnK;140;1579444696388349952;2022-10-10 12:12:14+00:00;Echobox;3;0
4;Seorang turis India melapor kepada kepolisian Pattaya telah kehilangan lebih dari USD 6.000. Uang itu disimpan di b… https://t.co/6ODqKF4H9y;140;1579444480121655296;2022-10-10 12:11:23+00:00;Echobox;3;0
5;Prakiraan cuaca besok sudah diumumkan oleh BMKG. Sebelum bepergian esok hari, penting untuk memperhatikan prakiraan… https://t.co/MKSFdEhpgM;140;1579443562886090752;2022-10-10 12:07:44+00:00;Echobox;4;0
6;Dua orang pengedar narkoba jenis sabu di Desa Cimanggis, Tajur Halang, Bogor ditangkap. Pelaku mengedarkan narkoba… https://t.co/fX2MQ6LC2W;139;1579443233565786113;2022-10-10 12:06:26+00:00;Echobox;3;0
7;Video aksi mesum dilakukan dalam tenda di Curug Pangeran, Kecamatan Pamijahan, Kabupaten Bogor, viral di media sosi… https://t.co/ZrZqW16Wrv;140;1579443227320410112;2022-10-10 12:06:24+00:00;Echobox;7;0
8;Relawan Jokowi mengusulkan Jokowi untuk me-reshuffle kabinet. Politikus senior PDIP Hendrawan Supratikno menilai Jo… https://t.co/44kG6hewHy;140;1579443221872070656;2022-10-10 12:06:23+00:00;Echobox;2;0
9;Viral postingan di medsos soal pungutan biaya saat melintasi Desa Adat Nagi, Kabupten Gianyar, Bali. Tidak hanya pe… https://t.co/uNluEYgkPR;140;1579443165752266753;2022-10-10 12:06:10+00:00;Echobox;2;0
10;Garuda Indonesia menebar promo dalam program bertajuk Octobest 10.10. Dihelat sejak 7 Oktober hingga 13 Oktober 202… https://t.co/cWOuUqRARD;140;1579442922449031168;2022-10-10 12:05:11+00:00;Echobox;3;0
11;Novita Kurnia Putri (25), tewas usai rumahnya di San Antonio, Texas, Amerika Serikat, diberondong ratusan tembakan.… https://t.co/uGzyXXqiAa;140;1579442880648994819;2022-10-10 12:05:02+00:00;Echobox;6;4
12;Farel Prayoga dan orang tuanya diketahui berbeda keyakinan. Namun, orang tuanya kerap berpesan agar Farel tak lupa… https://t.co/RIgM6l64Ps;139;1579442065141690368;2022-10-10 12:01:47+00:00;Echobox;9;4
13;Anies Baswedan merupakan sosok yang berseberangan secara politik dengan Jokowi dan PDIP. Menurut pengamat, NasDem s… https://t.co/FHZfkRuH9P;140;1579441719158112256;2022-10-10 12:00:25+00:00;Echobox;6;0
14;Gibran mengaku bosan ditanya soal tudingan kepada Presiden Jokowi terus. Menurutnya isu yang muncul itu-itu saja.… https://t.co/ppU7IMwhvZ;138;1579441698874458112;2022-10-10 12:00:20+00:00;Echobox;1;0
15;KPK memeriksa Rektor Unri Aras Mulyadi. Pemeriksaan digelar disela-sela kegiatan wisuda mahasiswa. https://t.co/dniG2XMSXR;122;1579441371429367810;2022-10-10 11:59:02+00:00;Echobox;5;1
16;Dari hasil pemeriksaan, BD merasa sakit hati kepada korban. Pasalnya, pelaku mengaku gajinya tidak dibayar oleh kor… https://t.co/CG53Kbypsg;140;1579441346494238721;2022-10-10 11:58:56+00:00;Echobox;2;0
17;Cristiano Ronaldo akhirnya pecah telur juga di #PremierLeague, Erik ten Hag memujinya dan turut meminta CR7 untuk t… https://t.co/EMyUnx0Ilz;140;1579440979249025024;2022-10-10 11:57:28+00:00;Echobox;3;1
18;KPK akan melelang sejumlah barang rampasan milik terpidana kasus korupsi. Bagaimana cara untuk ikutan? #Lelangwww.l… https://t.co/xhU7cEk9F1;140;1579440949008412674;2022-10-10 11:57:21+00:00;Echobox;2;2
19;Melansir dari situs Sahabat Pegadaian, Senin (10/10/2022), berikut ini merupakan 5 barang yang dapat digadaikan.  https://t.co/RHkHTDhI89;137;1579439741648269312;2022-10-10 11:52:33+00:00;Echobox;3;0
20;Gagal ginjal akut tak hanya dialami oleh orang dewasa saja, tetap anak-anak pun berpotensi terkena penyakit tersebu… https://t.co/tmTmreVfCr;140;1579439437851025408;2022-10-10 11:51:21+00:00;Echobox;6;6
21;Seorang pengusaha di Banyuwangi ditahan kejari. Pengusaha tersebut diduga menggelapkan pajak lebih dari Rp500 juta. https://t.co/3pXaA1T9jd;139;1579438681894842371;2022-10-10 11:48:20+00:00;Echobox;11;2
22;Timnas U-17 dihabisi Malaysia 5-1. Suporter yang kecewa mencari-cari Ketua Umum PSSI Mochammad Iriawan di Twitter.  https://t.co/NGgtccdtyn;139;1579437695796858880;2022-10-10 11:44:25+00:00;Echobox;2;1
23;Lee Chae Yeon akan debut solo degan merilis HUSH RUSH. Namun, ia dituding meniru konsep album Key SHINee. Waduh...  https://t.co/5a9snc79ex;139;1579437164563046400;2022-10-10 11:42:19+00:00;Echobox;0;0
24;Koordinator Security Official Arema FC Suko Sutrisno ditetapkan sebagai salah satu tersangka tragedi Kanjuruhan. Ap… https://t.co/yJyQuf4Irh;140;1579437135785910272;2022-10-10 11:42:12+00:00;Echobox;8;1
25;Lulusan pendidikan Golkar Institute diharapkan turut menawarkan dan memberikan solusi terhadap persoalan daya saing… https://t.co/8mwywaYQ0O;140;1579435505258704896;2022-10-10 11:35:43+00:00;Echobox;0;0
26;PKT bekerja sama dengan BNPT untuk menyalurkan dana bantuan pendidikan dan kesehatan dengan total sebesar Rp 407.24… https://t.co/ahLc9Hy6oE;140;1579435499361488896;2022-10-10 11:35:42+00:00;Echobox;3;0
